,expedition,accession,extracted,3RAD,family,genus,species_epithet,locality,date,latitude,longitude,elevation,county,location,locality_habitat,crano_site_id,plant_description,RNA,historical,Photo notes,HUH,NYBG,KIB,notes
0,"2018 Eaton, McKenzie, Meek, Zuo",DE1,,,Orobanchaceae,Pedicularis,rex,1,7/7/2018,"27°21'35"" N","99°55'01"" E",2840,Shangri-La,On highway from Shangri-la to Lijiang.,Disturbed roadside.,,Burnt specimen,,,,1,1,1,
1,"2018 Eaton, McKenzie, Meek, Zuo",DE2,,,Orobanchaceae,Pedicularis,densispica,1,7/7/2018,"27°21'35"" N","99°55'01"" E",2840,Shangri-La,On highway from Shangri-la to Lijiang.,Disturbed roadside.,,Burnt specimen,,,,1,1,1,
2,"2018 Eaton, McKenzie, Meek, Zuo",DE3,x,x,Orobanchaceae,Pedicularis,oxycarpa,1,7/7/2018,"27°21'35"" N","99°55'01"" E",2840,Shangri-La,On highway from Shangri-la to Lijiang.,Disturbed roadside.,,Burnt specimen,,,,1,1,1,
3,"2018 Eaton, McKenzie, Meek, Zuo",DE4,x,x,Orobanchaceae,Pedicularis,longiflora,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-La,On highway from Shangri-la to Lijiang.,"Wet meadow w/ Primula, Juniperus.",,Burnt specimen,,,,1,1,1,
4,"2018 Eaton, McKenzie, Meek, Zuo",DE5,x,x,Orobanchaceae,Pedicularis,rhinanthoides,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-La,On highway from Shangri-la to Lijiang.,"Wet meadow w/ Primula, Juniperus.",,Burnt specimen; collected pollen; same sample is DE5-P1,,,,1,1,1,
5,"2018 Eaton, McKenzie, Meek, Zuo",DE6,x,x,Orobanchaceae,Pedicularis,siphonantha,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-La,On highway from Shangri-la to Lijiang.,"Wet meadow w/ Primula, Juniperus.",,Burnt specimen,,,,1,1,1,
6,"2018 Eaton, McKenzie, Meek, Zuo",DE7,,,Orobanchaceae,Pedicularis,densispica,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-La,On highway from Shangri-la to Lijiang.,"Wet meadow w/ Primula, Juniperus.",,Burnt specimen; specimen discarded,,,,0,0,0,
7,"2018 Eaton, McKenzie, Meek, Zuo",DE8,,,Fabaceae,Tibetia,sp.,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-La,On highway from Shangri-la to Lijiang.,"Wet meadow w/ Primula, Juniperus.",,Burnt specimen; Dark purple (DE8-2) and light purple (DE8-1),,,,1,1,1,
8,"2018 Eaton, McKenzie, Meek, Zuo",DE9,,,Fagaceae,Quercus,sp.,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-La,On highway from Shangri-la to Lijiang.,"Wet meadow w/ Primula, Juniperus.",,Burnt specimen; DNA and pollen collected (DE9),,,,1,1,1,
9,"2018 Eaton, McKenzie, Meek, Zuo",DE10,,,Adoxaceae,Viburnum,sp.,3,7/8/2018,"28°16'51.4"" N","99°45'37.1"" E",3281,Shangri-La,On highway from Shangri-la to Lijiang.,Mixed hardwood and shrubs near streams.,,Burnt specimen,,,,1,1,1,
10,"2018 Eaton, McKenzie, Meek, Zuo",DE11,,,Fabaceae,Oxytropis?,sp.,4,7/8/2018,"28°21'17.7"" N","99°46'14.2"" E",3530,Shangri-La,On highway from Shangri-la to Lijiang. Near gravel pit.,Disturbed roadside.,,Burnt specimen,,,,1,1,1,
11,"2018 Eaton, McKenzie, Meek, Zuo",DE12,x,x,Orobanchaceae,Pedicularis,rhinanthoides,5,7/8/2018,"28°34'20.1"" N","99°49'25.1"" E",4124,Shangri-La,On highway from Shangri-la to Lijiang.,Shale scree slope w/ conifers and a stream.,,Burnt specimen,,,~3:20 - 4:00,1,1,1,
12,"2018 Eaton, McKenzie, Meek, Zuo",DE13,x,x,Orobanchaceae,Pedicularis,confertiflora,5,7/8/2018,"28°34'20.1"" N","99°49'25.1"" E",4124,Shangri-La,On highway from Shangri-la to Lijiang.,Shale scree slope w/ conifers and a stream.,,Burnt specimen,,,,1,0,0,
13,"2018 Eaton, McKenzie, Meek, Zuo",DE14,x,x,Orobanchaceae,Pedicularis,kansuensis,5,7/8/2018,"28°34'20.1"" N","99°49'25.1"" E",4124,Shangri-La,On highway from Shangri-la to Lijiang.,Shale scree slope w/ conifers and a stream.,,Burnt specimen; light purple flowers.,,,,1,1,1,
14,"2018 Eaton, McKenzie, Meek, Zuo",DE15,,,Orobanchaceae,Pedicularis,superba,5,7/8/2018,"28°34'20.1"" N","99°49'25.1"" E",4124,Shangri-La,On highway from Shangri-la to Lijiang.,Shale scree slope w/ conifers and a stream.,,"Burnt specimen; many old fruiting bodies, very few flowers plants.",,,,1,1,1,
15,"2018 Eaton, McKenzie, Meek, Zuo",DE16,,,Papaveraceae,Corydalis,sp.,5,7/8/2018,"28°34'20.1"" N","99°49'25.1"" E",4124,Shangri-La,On highway from Shangri-la to Lijiang.,Shale scree slope w/ conifers and a stream.,,"Burnt specimen; white corolla base, violet petal edges.",,,,1,1,1,
16,"2018 Eaton, McKenzie, Meek, Zuo",DE17,,,Orobanchaceae,Pedicularis,Pedicularis rex,5,7/8/2018,"28°34'20.1"" N","99°49'25.1"" E",4124,Shangri-La,On highway from Shangri-la to Lijiang.,Shale scree slope w/ conifers and a stream.,,Burnt specimen,,,,1,1,1,
17,"2018 Eaton, McKenzie, Meek, Zuo",DE18,,,Fabaceae,Tibetia,sp.,5,7/8/2018,"28°34'20.1"" N","99°49'25.1"" E",4124,Shangri-La,On highway from Shangri-la to Lijiang.,Shale scree slope w/ conifers and a stream.,,Burnt specimen; Very light yellow flowers,,,,1,1,0,
18,"2018 Eaton, McKenzie, Meek, Zuo",DE19,,,Orobanchaceae,Pedicularis,dolichoglossa,5,7/8/2018,"28°34'20.1"" N","99°49'25.1"" E",4124,Shangri-La,On highway from Shangri-la to Lijiang.,Shale scree slope w/ conifers and a stream.,,Burnt specimen; Yellow flowers with red maculation.,,,,1,0,0,
19,"2018 Eaton, McKenzie, Meek, Zuo",DE20,x,x,Orobanchaceae,Pedicularis,siphonantha,6,7/8/2018,"28°35'9.1"" N","99°50'14"" E",4378,Xiangcheng,,Scree slope above meadow filled with primulas and Rhododendron thicket to side. Historical HUH site Yellow 4. ,,Very long skinny corolla tubes.,,X,4:30-5:20,1,1,1,
20,"2018 Eaton, McKenzie, Meek, Zuo",DE21,,,Orobanchaceae,Pedicularis,cyathophylla,6,7/8/2018,"28°35'9.1"" N","99°50'14"" E",4378,Xiangcheng,,Scree slope above meadow filled with primulas and Rhododendron thicket to side. Historical HUH site Yellow 4. ,,,,X,,1,1,1,
21,"2018 Eaton, McKenzie, Meek, Zuo",DE22,x,x,Orobanchaceae,Pedicularis,rhinanthoides,6,7/8/2018,"28°35'9.1"" N","99°50'14"" E",4378,Xiangcheng,,Scree slope above meadow filled with primulas and Rhododendron thicket to side. Historical HUH site Yellow 4. ,,,,X,,1,1,1,
22,"2018 Eaton, McKenzie, Meek, Zuo",DE23,,,Papaveraceae,Corydalis,sp.,6,7/8/2018,"28°35'9.1"" N","99°50'14"" E",4378,Xiangcheng,,Scree slope above meadow filled with primulas and Rhododendron thicket to side. Historical HUH site Yellow 4. ,,,,X,,1,0,0,
23,"2018 Eaton, McKenzie, Meek, Zuo",DE24,x,x,Orobanchaceae,Pedicularis,rupicola,6,7/8/2018,"28°35'9.1"" N","99°50'14"" E",4378,Xiangcheng,,Scree slope above meadow filled with primulas and Rhododendron thicket to side. Historical HUH site Yellow 4. ,,,,X,,1,1,1,
24,"2018 Eaton, McKenzie, Meek, Zuo",DE25,x,x,Orobanchaceae,Pedicularis,dolichoglossa,7,7/8/2018,"28°35'38"" N","99°50'49"" E",4148,Xiangcheng,,Shrubby slope with Berberis. Historical HUH site Yellow 18.,,Yellow with dark red mottling on galea and lips.,,X,5:25,1,1,1,
25,"2018 Eaton, McKenzie, Meek, Zuo",DE26,,,Fabaceae,Tibetia,sp.,7,7/8/2018,"28°35'38"" N","99°50'49"" E",4148,Xiangcheng,,Shrubby slope with Berberis. Historical HUH site Yellow 18.,,Light yellow flowers,,X,,1,1,0,
26,"2018 Eaton, McKenzie, Meek, Zuo",DE27,x,x,Orobanchaceae,Pedicularis,lachnoglossa,8,7/8/2018,"28°37'02"" N","99°49'51"" E",4134,Xiangcheng,,Wet shrubby slope. Eaton site 1 from 2010.,,,,,6-6:30,1,1,1,
27,"2018 Eaton, McKenzie, Meek, Zuo",DE28,,,Orobanchaceae,Pedicularis,rudis,8,7/8/2018,"28°37'02"" N","99°49'51"" E",4134,Xiangcheng,,Wet shrubby slope. Eaton site 1 from 2010.,,,,,,1,1,1,
28,"2018 Eaton, McKenzie, Meek, Zuo",DE29,,,Fabaceae,Astragalus,sp.,8,7/8/2018,"28°37'02"" N","99°49'51"" E",4134,Xiangcheng,,Wet shrubby slope. Eaton site 1 from 2010.,,,,,,1,1,1,
29,"2018 Eaton, McKenzie, Meek, Zuo",DE30,x,x,Orobanchaceae,Pedicularis,kansuensis,8,7/8/2018,"28°37'02"" N","99°49'51"" E",4134,Xiangcheng,,Wet shrubby slope. Eaton site 1 from 2010.,,,,,,1,1,1,
30,"2018 Eaton, McKenzie, Meek, Zuo",DE31,x,x,Orobanchaceae,Pedicularis,elwesii,9,7/8/2018,"28°39'0.5"" N","99°50'01.2"" E",4137,Xiangcheng,,Shrubby wet meadow on Kobresia slope. Eaton site 2 from 2010.,,,,,6:38--,1,1,0,
31,"2018 Eaton, McKenzie, Meek, Zuo",DE32,,,Orobanchaceae,Pedicularis,rhodotricha,9,7/8/2018,"28°39'0.5"" N","99°50'01.2"" E",4137,Xiangcheng,,Shrubby wet meadow on Kobresia slope. Eaton site 2 from 2010.,,,,,,1,1,1,
32,"2018 Eaton, McKenzie, Meek, Zuo",DE33,x,x,Orobanchaceae,Pedicularis,kansuensis,9,7/8/2018,"28°39'0.5"" N","99°50'01.2"" E",4137,Xiangcheng,,Shrubby wet meadow on Kobresia slope. Eaton site 2 from 2010.,,,,,,1,1,0,
33,"2018 Eaton, McKenzie, Meek, Zuo",DE34,,,Orobanchaceae,Pedicularis,ingens,9,7/8/2018,"28°39'0.5"" N","99°50'01.2"" E",4137,Xiangcheng,,Shrubby wet meadow on Kobresia slope. Eaton site 2 from 2010.,,,,,,1,1,0,
34,"2018 Eaton, McKenzie, Meek, Zuo",DE35,x,x,Orobanchaceae,Pedicularis,lachnoglossa,9,7/8/2018,"28°39'0.5"" N","99°50'01.2"" E",4137,Xiangcheng,,Shrubby wet meadow on Kobresia slope. Eaton site 2 from 2010.,,,,,,1,1,0,
35,"2018 Eaton, McKenzie, Meek, Zuo",DE36,,,Asteraceae,Saussurea,sp.,9,7/8/2018,"28°39'0.5"" N","99°50'01.2"" E",4137,Xiangcheng,,Shrubby wet meadow on Kobresia slope. Eaton site 2 from 2010.,,,,,,1,1,1,
36,"2018 Eaton, McKenzie, Meek, Zuo",DE37,,,Orobanchaceae,Pedicularis,axillaris,10,7/8/2018,"28°43'48.4"" N","99°50'45"" E",3799,Xiangcheng,,,,,,,,1,1,1,
