expedition,accession,HUH,NYBG,KIB,locality,date,latitude,longitude,elevation,county,location,family,genus,species_epithet,crano_site_id,plant_description,locality_habitat,historical
"2018 Eaton, McKenzie, Meek, Zuo",DE1,1,1,1,1,7/7/2018,"27°21'35"" N","99°55'01"" E",2840,Shangri-la,On highway from Shangri-la to Lijiang. Disturbed roadside. ,Orobanchaceae,Pedicularis,rex,,Burnt specimen,,
"2018 Eaton, McKenzie, Meek, Zuo",DE2,1,1,1,1,7/7/2018,"27°21'35"" N","99°55'01"" E",2840,Shangri-la,On highway from Shangri-la to Lijiang. Disturbed roadside. ,Orobanchaceae,Pedicularis,densispica,,Burnt specimen,,
"2018 Eaton, McKenzie, Meek, Zuo",DE3,1,1,1,1,7/7/2018,"27°21'35"" N","99°55'01"" E",2840,Shangri-la,On highway from Shangri-la to Lijiang. Disturbed roadside. ,Orobanchaceae,Pedicularis,oxycarpa,,Burnt specimen,,
"2018 Eaton, McKenzie, Meek, Zuo",DE4,1,1,1,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-la,On highway from Shangri-la to Lijiang. Disturbed roadside. ,Orobanchaceae,Pedicularis,longiflora,,Burnt specimen,,
"2018 Eaton, McKenzie, Meek, Zuo",DE5,1,1,1,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-la,On highway from Shangri-la to Lijiang. Disturbed roadside. ,Orobanchaceae,Pedicularis,rhinanthoides,,Burnt specimen; collected pollen; same sample is DE5-P1,,
"2018 Eaton, McKenzie, Meek, Zuo",DE6,1,1,1,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-la,On highway from Shangri-la to Lijiang. Disturbed roadside. ,Orobanchaceae,Pedicularis,siphonantha,,Burnt specimen,,
"2018 Eaton, McKenzie, Meek, Zuo",DE7,0,0,0,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-la,On highway from Shangri-la to Lijiang. Disturbed roadside. ,Orobanchaceae,Pedicularis,densispica,,Burnt specimen; specimen discarded,,
"2018 Eaton, McKenzie, Meek, Zuo",DE8,1,1,1,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-la,On highway from Shangri-la to Lijiang. Disturbed roadside. ,Orobanchaceae,Tibetia,sp.,,Burnt specimen; Dark purple (DE8-2) and light purple (DE8-1),,
"2018 Eaton, McKenzie, Meek, Zuo",DE9,1,1,1,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-la,On highway from Shangri-la to Lijiang. Disturbed roadside. ,Orobanchaceae,Quercus,sp.,,Burnt specimen; DNA and pollen collected (DE9),,
"2018 Eaton, McKenzie, Meek, Zuo",DE10,1,1,1,3,7/8/2018,"28°16'51.4"" N","99°45'37.1"" E",3281,Shangri-la,On highway from Shangri-la to Xiangcheng,Adoxaceae,Viburnum,sp.,,Burnt specimen,,
